"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_3_month","GO","GO:0022857",152,18449,245,41599,1.79276506499216e-08,3.77377046180849e-05
"18_month_vs_3_month","GO","GO:0016020",1024,18449,2104,41599,2.44248244651779e-05,0.0257071277495997
"18_month_vs_3_month","GO","GO:0004930",175,18449,317,41599,6.31892675656761e-05,0.0341417676061691
"18_month_vs_3_month","GO","GO:0055085",253,18449,476,41599,6.48774681352382e-05,0.0341417676061691
"18_month_vs_3_month","GO","GO:0007186",197,18449,364,41599,0.000107052119022011,0.0450689421082667
"18_month_vs_3_month","GO","GO:0050660",32,18449,49,41599,0.00250470591662483,0.788794765168699
"18_month_vs_3_month","GO","GO:0007030",27,18449,40,41599,0.0026487369964831,0.788794765168699
"18_month_vs_3_month","GO","GO:0004672",153,18449,292,41599,0.00336727166280981,0.788794765168699
"18_month_vs_3_month","GO","GO:0005092",7,18449,7,41599,0.00337251918599444,0.788794765168699
"18_month_vs_3_month","GO","GO:0038023",18,18449,25,41599,0.00481771282517776,1
"18_month_vs_3_month","GO","GO:0031012",29,18449,45,41599,0.00523727788559275,1
"18_month_vs_3_month","GO","GO:0000070",6,18449,6,41599,0.00760576861156355,1
"18_month_vs_3_month","GO","GO:0005537",11,18449,14,41599,0.0100230855291883,1
"18_month_vs_3_month","GO","GO:0007041",11,18449,14,41599,0.0100230855291883,1
"18_month_vs_3_month","GO","GO:0005164",12,18449,16,41599,0.0130415165815319,1
"18_month_vs_3_month","GO","GO:0015297",9,18449,11,41599,0.0132287297779365,1
"18_month_vs_3_month","GO","GO:0030154",9,18449,11,41599,0.0132287297779365,1
"18_month_vs_3_month","GO","GO:0008528",42,18449,73,41599,0.0159972600990119,1
"18_month_vs_3_month","GO","GO:0019441",7,18449,8,41599,0.016512467591707,1
"18_month_vs_3_month","GO","GO:0052031",5,18449,5,41599,0.0171521546101374,1
"18_month_vs_3_month","GO","GO:0070206",22,18449,35,41599,0.0211913973910055,1
"18_month_vs_3_month","GO","GO:0015276",23,18449,37,41599,0.0221530516458336,1
"18_month_vs_3_month","GO","GO:0140359",36,18449,64,41599,0.0369979949729435,1
"18_month_vs_3_month","GO","GO:0004357",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","GO","GO:0004797",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","GO","GO:0006276",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","GO","GO:0042626",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","GO","GO:1901222",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","GO","GO:0000921",19,18449,31,41599,0.0432515744651484,1
"18_month_vs_3_month","GO","GO:0005940",19,18449,31,41599,0.0432515744651484,1
"18_month_vs_3_month","GO","GO:0000139",11,18449,16,41599,0.0434631745691051,1
