"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_3_month","KEGG_KO","K26203",6,18449,6,41599,0.00760576861156355,1
"18_month_vs_3_month","KEGG_KO","K01937",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","KEGG_KO","K23883",4,18449,4,41599,0.038679526755688,1
"18_month_vs_3_month","KEGG_KO","K00569",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K00856",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K00873",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K01077",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K01273",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K01868",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K02358",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K06564",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K07377",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K10691",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K12190",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K12386",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K13141",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K14402",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K14832",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K17659",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K18260",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K20290",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K23570",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K24762",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K28875",3,18449,3,41599,0.0872228989986772,1
"18_month_vs_3_month","KEGG_KO","K09250",4,18449,5,41599,0.12478901533789,1
"18_month_vs_3_month","KEGG_KO","K14297",4,18449,5,41599,0.12478901533789,1
"18_month_vs_3_month","KEGG_KO","K00249",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00364",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00699",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00750",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00857",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00889",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00921",2,18449,2,41599,0.196682979869246,1
"18_month_vs_3_month","KEGG_KO","K00963",2,18449,2,41599,0.196682979869246,1
