gene_id,SRR13618140,SRR13618141,SRR13618142,SRR13618143,SRR13618144,SRR13618145,SRR13618146,SRR13618147,SRR13618148,SRR13618149,SRR13618150,SRR13618151
MSTRG.1,45,22,8,3,49,31,5,2,9,5,4,10
MSTRG.2,5,38,12,0,13,148,0,33,2,7,0,40
MSTRG.3,364,312,540,773,300,362,318,518,434,389,484,508
MSTRG.6,9,114,25,16,40,486,5,62,9,76,0,169
MSTRG.4,151,57,518,195,68,135,1153,590,963,813,474,716
MSTRG.5,845,850,659,806,850,568,727,937,876,837,894,801
MSTRG.8,58,58,15,18,57,57,22,34,21,31,7,28
MSTRG.9,4,0,11,34,23,12,22,20,29,25,20,28
MSTRG.7,1394,1516,1443,833,826,1583,627,845,859,58,1159,1203
MSTRG.10,170,1238,198,66,270,260,2042,519,498,975,442,841
MSTRG.11,166,149,227,204,132,85,229,268,337,207,234,173
MSTRG.13,282,214,1325,881,199,182,2010,1144,1656,1955,1138,1510
MSTRG.14,5571,5172,3462,4130,5132,5019,5042,7714,7359,6345,7151,6952
MSTRG.12,2203,1795,2421,2560,1792,1250,2439,2793,2920,2509,2626,2552
MSTRG.15,1517,1697,762,854,1273,1287,756,1114,1035,758,896,991
MSTRG.16,62,265,2002,1375,46,1636,68,511,67,1054,361,2256
MSTRG.17,4,22,60,61,0,82,0,14,7,18,5,56
MSTRG.18,2665,2165,2110,2589,2321,1872,1963,3247,2767,2451,2625,2450
MSTRG.19,237,220,313,264,181,51,478,442,474,404,433,492
MSTRG.20,13,5,21,20,14,4,37,11,9,18,4,21
MSTRG.21,2348,3011,1206,1234,3670,4436,976,1520,1124,1003,1370,1218
MSTRG.22,98,48,210,597,83,29,422,39,309,274,132,352
MSTRG.23,1859,1984,936,651,1867,2228,1323,1415,1416,1179,827,990
MSTRG.25,7,32,27,13,11,10,249,40,99,110,34,50
MSTRG.27,35,21,59,22,5,17,359,55,131,183,19,73
MSTRG.26,335,322,1565,1032,382,267,6725,1900,3524,4157,1194,2151
MSTRG.28,493,461,355,327,514,391,530,746,594,542,403,515
MSTRG.24,12411,9848,7271,7095,10228,8381,17807,12632,18333,13040,8348,8698
MSTRG.29,106,102,329,164,195,100,532,233,327,384,172,343
