transcript_id,SRR13618140,SRR13618141,SRR13618142,SRR13618143,SRR13618144,SRR13618145,SRR13618146,SRR13618147,SRR13618148,SRR13618149,SRR13618150,SRR13618151
MSTRG.1.1,45,22,8,3,49,31,5,2,9,5,4,10
MSTRG.2.1,5,38,12,0,13,148,0,33,2,7,0,40
MSTRG.3.1,364,312,540,773,300,362,318,518,434,389,484,508
MSTRG.6.1,9,114,25,16,40,486,5,62,9,76,0,169
MSTRG.4.1,0,0,187,0,0,0,382,341,277,694,452,628
MSTRG.4.3,0,0,181,0,0,0,456,147,370,99,22,57
MSTRG.4.2,151,57,150,195,68,135,315,102,316,20,0,31
MSTRG.5.1,845,850,659,806,850,568,727,937,876,837,894,801
MSTRG.8.1,52,54,14,17,54,24,20,30,20,21,6,26
MSTRG.8.2,6,4,1,1,3,33,2,4,1,10,1,2
MSTRG.9.1,4,0,11,34,23,12,22,20,29,25,20,28
MSTRG.7.1,1133,1292,1108,631,92,1583,400,594,607,58,1054,1017
MSTRG.7.2,261,224,335,202,734,0,227,251,252,0,105,186
MSTRG.10.1,170,1238,198,66,270,260,2042,519,498,975,442,841
MSTRG.11.1,166,149,227,204,132,85,229,268,337,207,234,173
MSTRG.13.1,272,214,1272,875,142,159,1970,1121,1621,1907,1129,1472
MSTRG.13.2,10,0,53,6,57,23,40,23,35,48,9,38
MSTRG.14.1,4877,4857,3204,3744,4757,4657,4774,7038,7042,5858,6728,6398
MSTRG.14.2,511,203,128,227,244,219,117,409,167,254,265,314
MSTRG.14.4,93,73,105,79,70,116,106,138,78,141,108,108
MSTRG.14.3,90,39,25,80,61,27,45,129,72,92,50,132
MSTRG.12.1,2203,1795,2421,2560,1792,1250,2439,2793,2920,2509,2626,2552
MSTRG.15.1,1517,1697,762,854,1273,1287,756,1114,1035,758,896,991
MSTRG.16.1,62,265,2002,1375,46,1636,68,511,67,1054,361,2256
MSTRG.17.1,4,22,60,61,0,82,0,14,7,18,5,56
MSTRG.18.1,2665,2165,2110,2589,2321,1872,1963,3247,2767,2451,2625,2450
MSTRG.19.1,237,220,313,264,181,51,478,442,474,404,433,492
MSTRG.20.1,13,5,21,20,14,4,37,11,9,18,4,21
MSTRG.21.1,0,2,8,453,1,6,22,14,172,1,417,185
MSTRG.21.2,0,88,215,0,0,3,344,0,0,231,89,52
MSTRG.21.3,0,35,629,0,212,0,244,189,261,16,203,46
MSTRG.21.4,0,0,9,593,0,1,25,5,0,0,18,118
MSTRG.21.5,0,39,167,0,290,0,67,565,34,317,27,98
MSTRG.21.6,189,0,0,6,220,14,40,0,24,16,158,42
MSTRG.21.7,1819,2204,113,68,2178,3356,83,423,261,378,44,333
MSTRG.21.8,340,643,65,114,769,1056,151,324,372,44,414,344
MSTRG.22.1,98,48,210,597,83,29,422,39,309,274,132,352
MSTRG.23.1,1859,1984,936,651,1867,2228,1323,1415,1416,1179,827,990
MSTRG.25.1,7,32,27,13,11,10,249,40,99,110,34,50
MSTRG.27.2,0,0,0,0,0,0,65,0,18,41,0,8
MSTRG.27.1,35,21,59,22,5,17,294,55,113,142,19,65
MSTRG.26.1,313,316,1250,955,313,136,5533,1427,3016,3532,1086,1807
MSTRG.26.2,22,6,315,77,69,131,1192,473,508,625,108,344
MSTRG.28.1,493,461,355,327,514,391,530,746,594,542,403,515
MSTRG.24.1,12411,9848,7271,7095,10228,8381,17807,12632,18333,13040,8348,8698
MSTRG.29.1,106,102,329,164,195,100,532,233,327,384,172,343
MSTRG.30.1,72,110,345,244,90,100,150,218,258,193,233,249
MSTRG.31.1,50,102,111,150,151,75,51,134,140,128,102,261
MSTRG.33.1,396,517,156,258,514,570,394,318,391,231,256,378
MSTRG.34.1,0,17,28,48,22,12,226,236,195,205,184,141
MSTRG.34.2,151,219,116,140,224,246,7,19,55,8,14,46
MSTRG.35.1,116,52,26,24,40,62,24,49,52,51,37,54
MSTRG.36.1,95,139,136,105,94,65,49,99,84,55,65,103
MSTRG.37.1,92,54,176,135,67,52,128,175,148,103,96,154
MSTRG.38.1,3,4,44,10,14,3,83,25,47,52,28,30
MSTRG.39.1,13,9,65,23,0,0,69,66,27,64,11,34
MSTRG.40.1,19,17,124,90,9,13,241,76,91,176,73,171
MSTRG.41.1,36,0,0,1,96,234,0,3,3,1,1,1
MSTRG.41.2,909,806,1967,1578,728,701,2931,1888,2241,2490,1726,2347
MSTRG.42.1,1396,773,1381,1829,1068,481,1477,1679,1704,1515,1426,1595
MSTRG.43.1,1776,1546,1630,1988,1895,1309,812,1370,1248,816,1079,1091
MSTRG.44.1,62,32,4,23,47,19,12,22,16,30,23,10
MSTRG.45.1,17,5,76,122,9,5,25,58,16,22,177,44
MSTRG.47.5,0,1647,1742,2600,554,0,1048,676,2899,1026,905,1119
MSTRG.47.6,0,0,2662,2544,0,0,978,655,1113,1964,817,679
MSTRG.47.1,7266,38,3125,3165,5606,2023,502,2714,1069,1359,1348,446
MSTRG.47.2,2609,4410,3841,4283,1005,3468,12640,9390,8670,6116,9737,10687
MSTRG.47.4,1829,4524,2849,2765,3958,1010,1607,2813,1361,4145,1363,3968
MSTRG.47.3,1167,235,2935,2780,0,883,889,2785,4003,1968,1285,531
MSTRG.46.1,64042,60605,121691,145163,70057,44895,58886,111672,86758,65095,122885,113702
MSTRG.50.1,405,299,2111,1721,437,163,1455,1850,1780,1887,2626,2186
MSTRG.48.2,0,714,2262,0,761,205,1619,3086,2740,2360,3605,2516
MSTRG.48.1,28900,23699,135239,127968,26793,14061,82667,120037,111213,92868,140715,139645
MSTRG.49.1,8,0,71,20,0,0,8,20,7,5,81,10
MSTRG.52.1,38,124,96,129,125,73,429,269,638,200,269,147
MSTRG.51.1,7973,5395,79940,67632,7196,2750,44333,49148,49461,49914,61755,65985
MSTRG.53.1,277,250,247,378,258,180,458,335,401,343,285,424
MSTRG.55.1,414,370,691,641,359,264,1166,860,865,1031,593,926
MSTRG.56.1,280,329,133,188,275,329,101,130,150,78,142,145
MSTRG.57.1,776,824,364,701,911,1131,574,515,514,589,491,564
MSTRG.57.2,8,3,224,0,0,13,82,252,185,116,51,160
MSTRG.54.1,3333,3517,2262,2958,3623,3336,1560,2480,2013,1888,1999,2101
MSTRG.58.1,93,45,152,115,86,42,223,217,357,189,85,89
MSTRG.59.2,0,164,0,320,213,182,341,0,0,307,0,0
MSTRG.59.1,326,0,425,0,0,0,0,399,442,224,324,509
MSTRG.59.3,268,172,399,437,177,99,232,458,338,137,281,214
MSTRG.60.1,755,756,570,576,631,646,865,845,870,709,540,688
MSTRG.61.1,3457,2542,1592,1376,2765,2304,2532,3257,3932,2261,1198,1218
MSTRG.62.1,4,12,0,2,15,0,0,1,0,0,8,0
MSTRG.63.1,530,690,221,197,626,716,295,319,356,345,301,303
MSTRG.64.1,54,32,53,42,56,29,34,63,62,60,72,66
MSTRG.64.2,2,0,0,0,0,17,0,0,0,0,0,0
MSTRG.65.1,18,9,32,60,17,5,26,23,71,36,38,38
MSTRG.67.1,255,273,392,303,198,285,279,395,471,279,372,364
MSTRG.67.2,225,262,44,46,282,313,84,255,98,171,16,122
MSTRG.68.1,228,192,268,340,364,219,354,458,442,377,275,383
MSTRG.66.1,130,192,111,174,237,339,92,118,133,86,133,118
MSTRG.69.1,13,13,10,11,47,33,4,9,6,13,2,9
MSTRG.71.1,11,16,21,13,30,8,35,22,39,41,17,13
MSTRG.70.1,588,565,377,339,612,732,364,392,392,325,353,370
MSTRG.72.1,35,29,2,0,27,51,16,8,21,11,16,0
MSTRG.73.2,0,297,276,0,0,0,0,58,424,0,0,438
MSTRG.73.3,0,0,0,0,153,139,0,132,0,618,0,0
MSTRG.73.1,531,538,372,532,832,484,782,432,539,149,359,257
MSTRG.73.4,378,172,273,350,0,23,0,469,0,0,346,0
MSTRG.74.1,76,81,342,187,83,27,612,428,541,606,256,429
MSTRG.75.1,17,16,28,42,15,4,20,35,29,19,20,43
MSTRG.76.1,1413,1465,1531,1543,1718,1280,1161,1184,877,1136,1264,1490
MSTRG.76.2,43,91,0,212,0,12,0,144,605,0,261,130
MSTRG.77.1,17,18,248,149,0,1,181,157,149,312,143,217
MSTRG.78.1,94,107,66,68,139,99,104,90,134,126,61,53
MSTRG.79.1,10,4,12,12,21,8,18,23,40,16,11,16
MSTRG.80.1,1554,832,1465,1907,1109,725,4138,2578,3558,3561,1112,1771
MSTRG.81.1,54,33,164,212,47,37,320,183,219,271,71,93
MSTRG.81.2,28,18,170,236,29,0,284,174,213,268,73,103
MSTRG.81.3,82,22,80,29,24,7,209,43,100,189,29,69
MSTRG.82.1,99,111,6,29,86,56,71,75,79,67,34,34
MSTRG.83.1,24,9,106,143,52,4,136,168,179,199,64,129
MSTRG.84.1,46,46,33,21,70,51,73,63,39,55,14,38
MSTRG.83.2,53,34,51,43,3,9,148,99,104,97,54,88
MSTRG.85.1,40,13,5,1,24,6,54,3,21,11,1,9
MSTRG.86.1,771,761,557,699,664,758,705,965,876,704,768,622
MSTRG.89.1,306,241,49,634,844,260,226,318,143,577,124,498
MSTRG.89.2,246,95,912,585,263,43,2888,1423,1510,2307,69,262
MSTRG.89.3,95,23,157,155,50,27,522,292,331,519,201,435
MSTRG.89.4,35,15,185,581,132,864,685,236,1062,473,675,276
MSTRG.89.5,160,192,183,139,153,79,255,192,229,237,449,362
MSTRG.89.6,29,221,245,292,91,119,44,559,270,76,246,5
MSTRG.90.1,56,20,174,132,54,18,609,296,440,730,75,323
MSTRG.90.3,2363,3669,3421,3141,3399,3790,6229,5389,7570,6579,2548,3537
MSTRG.90.2,450,88,38,0,298,99,210,220,364,94,71,114
MSTRG.90.4,21,14,36,38,8,14,146,47,107,167,50,72
MSTRG.89.7,3211,913,1015,1273,1533,670,1543,1636,808,540,1185,488
MSTRG.89.8,29,32,70,83,41,30,109,81,107,78,31,65
MSTRG.89.9,1163,883,2330,1982,944,94,3257,2423,2039,3401,1910,2435
MSTRG.87.1,1001,954,1546,1613,1045,697,1547,1674,1855,1595,1325,1433
MSTRG.88.1,776,593,1131,909,591,528,1236,1097,1143,1028,1107,1155
MSTRG.91.1,287,161,149,152,583,825,1095,135,1053,755,616,852
MSTRG.91.2,720,741,628,735,491,0,3,773,0,268,175,1
MSTRG.93.1,0,48,73,0,0,0,0,542,437,85,29,268
MSTRG.93.2,0,0,88,0,0,0,267,98,190,21,64,109
MSTRG.93.4,0,0,0,0,0,0,246,0,0,0,0,0
MSTRG.93.5,0,0,0,0,0,0,88,0,536,1043,0,555
MSTRG.93.6,0,0,872,484,0,0,2,0,2,0,0,0
MSTRG.93.3,72,10,9,0,39,0,387,420,14,0,965,0
MSTRG.94.1,35,10,7,5,16,28,9,6,44,7,0,21
MSTRG.92.1,11236,8564,15839,13974,8426,5222,19861,24991,25273,22362,21976,22685
MSTRG.95.2,181,136,490,570,150,88,801,733,1198,692,577,543
MSTRG.95.1,184,140,488,561,168,99,792,743,643,702,604,561
MSTRG.96.1,57,31,13,19,42,7,41,68,114,57,48,41
MSTRG.97.5,0,0,0,0,33,1,0,0,0,0,0,0
MSTRG.97.1,3239,3372,2384,2271,3652,3138,2139,2439,3628,2111,1698,1827
MSTRG.97.2,79,57,35,86,12,49,174,108,257,151,48,110
MSTRG.97.3,10,3,34,57,11,3,80,50,152,51,102,125
MSTRG.97.4,4,5,46,44,22,6,108,49,147,155,91,148
MSTRG.98.1,122,90,122,107,93,160,139,185,178,196,181,154
