direction,top_pfam_name,gene_count
Up,Glyco_hydro_9,3
Up,p450,3
Up,PIRC1_2,2
Up,7tm_1,2
Up,Galactosyl_T,2
Up,CDO_I,1
Up,Ig_3,1
Up,Rcat_RNF216,1
Up,Fasciclin,1
Up,7TM_GPCR_Srw,1
Up,NGF,1
Up,ABC_membrane,1
Up,RVT_1,1
Up,RNase_T,1
Up,SPARC_Ca_bdg,1
Up,Peptidase_M19,1
Up,zf-H2C2_5,1
Up,FAM200-GTF2IRD2-like,1
Up,GAS2,1
Up,PS_pyruv_trans,1
Up,SNF2-rel_dom,1
Up,Gal-bind_lectin,1
Up,Glyco_tran_28_C,1
Up,Fructosamin_kin,1
Up,CpeT,1
Up,Ldl_recept_a,1
Up,LRR_8,1
Up,Fibrinogen_C,1
Up,zf-H2C2_2,1
Up,COesterase,1
Up,IF-2,1
Up,Choline_transpo,1
Up,Na_Ca_ex,1
Up,BIR,1
Up,LRAT,1
Down,Collagen,12
Down,p450,7
Down,7tm_1,6
Down,CUB,5
Down,Peptidase_S10,5
Down,fn3,5
Down,VWA,5
Down,ApeC,5
Down,RVT_1,5
Down,Ank_2,4
Down,I-set,4
Down,AIG1,4
Down,PK_Tyr_Ser-Thr,4
Down,MIB_HERC2,4
Down,COLFI,3
Down,EGF_TEN,3
Down,Lectin_C,3
Down,Fibrinogen_C,3
Down,Pkinase,2
Down,Integrin_A_Ig_1,2
Down,AAA_12,2
Down,VIT,2
Down,Astacin,2
Down,EGF_CA,2
Down,Kazal_2,2
Down,Macro,2
Down,Y_phosphatase,2
Down,Laminin_G_1,2
Down,ubiquitin,2
Down,AA_permease_2,2
Down,F5_F8_type_C_2,2
Down,CH,2
Down,RNase_H,2
Down,DTC,1
Down,Zn_ribbon_3CxxC,1
Down,Ifi-6-16,1
Down,DUF8357,1
Down,Cyclase,1
Down,Cu-oxidase_3,1
Down,zf-C3HC4_3,1
Down,DAO,1
Down,Peptidase_C1,1
Down,MIP,1
Down,Ran_BP1,1
Down,HYOU1_C,1
Down,SH3_retrovirus,1
Down,C4,1
Down,Inhibitor_I29,1
Down,SH2,1
Down,7tm_2,1
Down,Methyltransf_23,1
Down,Integrin_A_Ig_2,1
Down,Glyco_hydro_65m,1
Down,Peptidase_M13,1
Down,Ets,1
Down,JAB,1
Down,ADH_zinc_N,1
Down,GAIN,1
Down,UPF0515,1
Down,Nup98_GLEBS,1
Down,UDPGT,1
Down,LRR_8,1
Down,MFS_1,1
Down,H_lectin,1
Down,DUF4749,1
Down,D8C_UMOD,1
Down,RT_RNaseH,1
Down,Kinesin,1
Down,RhoGAP,1
Down,Morc6_S5,1
Down,Aldedh,1
Down,PARP,1
Down,Myosin_head,1
Down,MGC-24,1
Down,Ldl_recept_a,1
Down,Actin,1
Down,DUF7789,1
Down,TPR_12,1
Down,Filamin,1
Down,FJX1_middle,1
Down,Fasciclin,1
Down,HYR,1
Down,TNFR_c6,1
Down,zf-H2C2_2,1
Down,Alpha_kinase,1
Down,LicD,1
Down,IBB,1
Down,PKD_channel,1
Down,Beta-prop_FAM234A_B,1
Down,EGF_PEAR1L,1
Down,Peptidase_M13_N,1
Down,GNT-I,1
Down,Vitellogenin_N,1
Down,TB,1
Down,TARSH_C,1
Down,FMO-like,1
Down,Beta-lactamase,1
Down,VHP,1
Down,PLAT,1
Down,C8-3_MUC4,1
Down,SH3_1,1
Down,SAS-6_N,1
Down,WD40_MABP1-WDR62_1st,1
Down,TPX2_importin,1
Down,Plexin_cytopl,1
Down,Peptidase_M10,1
Down,TIG,1
Down,MAM,1
Down,Laminin_N,1
Down,Laminin_B,1
Down,SRCR,1
Down,Lipoxygenase,1
Down,CYRIA-B_Rac1-bd,1
Down,zf-HC5HC2H_2,1
Down,Myosin_N,1
Down,Transglut_core,1
Down,TNF,1
Down,Ribosomal_L31e,1
Down,Innexin,1
Down,Glyco_hydro_20,1
Down,Arginase,1
Down,zf-MYND,1
Down,Prominin,1
