"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_plot","minus_log10_padj","significance"
"MSTRG.14013",222525.442015298,-4.98924520246268,0.184713258656016,-27.0107583979878,1.10482580387835e-160,4.59596486155355e-156,4.59596486155355e-156,155.337623300369,"Down"
"MSTRG.19204",1890.39272651262,6.30883337155542,0.239100183909786,26.3857319906361,1.99780063374958e-153,4.15532542816745e-149,4.15532542816745e-149,148.381394958373,"Up"
"MSTRG.14242",9161.38710928814,-2.53402265525968,0.09616521806678,-26.3507191706254,5.03592325977997e-153,6.98297905611957e-149,6.98297905611957e-149,148.155959260526,"Down"
"MSTRG.312",80847.4669886105,-3.55493191655222,0.138182233816945,-25.7264035929654,5.92208280725614e-146,6.1588180674762e-142,6.1588180674762e-142,141.210502624852,"Down"
"MSTRG.14882",9487.53765976941,5.3802512355852,0.215840923281572,24.9269283775556,3.79975111220574e-137,3.16131693033293e-133,3.16131693033293e-133,132.500131962814,"Up"
"MSTRG.14011",114224.857114733,-4.33011404764286,0.175856324679806,-24.6230214098185,7.16132470596698e-134,4.96506577405867e-130,4.96506577405867e-130,129.304074993871,"Down"
"MSTRG.33247",25968.2168968166,-3.66471302501928,0.154198113248814,-23.7662637227338,7.46085380490553e-125,4.43377224900379e-121,4.43377224900379e-121,120.353226619192,"Down"
"MSTRG.7692",35806.4670644127,-4.47933822757912,0.196103964878149,-22.8416505008576,1.76915553294308e-115,9.19938762686241e-112,9.19938762686241e-112,111.036241081255,"Down"
"MSTRG.7871",15056.3625825969,1.92974977102307,0.0852697655756686,22.6311138302662,2.14126940234324e-113,9.89718509645294e-110,9.89718509645294e-110,109.004488307514,"Up"
"MSTRG.4958",42159.4474476339,-2.06190796073063,0.0923188060353173,-22.3346471784073,1.7026786894084e-110,7.08297308007002e-107,7.08297308007002e-107,106.149784408802,"Down"
"MSTRG.9348",2484.33751704618,5.51926299820189,0.249455336952485,22.1252552285669,1.80613109286341e-108,6.83029521200228e-105,6.83029521200228e-105,104.165560525283,"Up"
"MSTRG.21991",245242.655143953,2.8128103873692,0.131128789399025,21.4507462492452,4.49384992506457e-102,1.55783052527301e-98,1.55783052527301e-98,97.8074797905288,"Up"
"MSTRG.20665",5891.87360773189,-2.66175464902715,0.124500603067653,-21.3794518535847,2.07552894745388e-101,6.64153297577955e-98,6.64153297577955e-98,97.177731666704,"Down"
"MSTRG.26700",22569.4401527777,-2.48081637467963,0.117910994343752,-21.0397375451452,2.83945026403713e-98,8.43702082383431e-95,8.43702082383431e-95,94.0738108789875,"Down"
"MSTRG.39717",12189.3243530113,2.68238591476043,0.127824991746108,20.9848315115741,9.024228404473e-98,2.50265918265115e-94,2.50265918265115e-94,93.6015982894937,"Up"
"MSTRG.28613",3225.96689289141,-4.38040755315685,0.212070754076156,-20.6554061272579,8.7284165331026e-95,2.26933374600334e-91,2.26933374600334e-91,90.6441016286683,"Down"
"MSTRG.41472",13103.9499521019,-3.72932079558735,0.18162741664871,-20.5328075705681,1.0965259118436e-93,2.68319890628128e-90,2.68319890628128e-90,89.571347131764,"Down"
"MSTRG.34227",478.356281877082,-3.0924775682687,0.151790376406947,-20.3733440911816,2.8830253659154e-92,6.66283178870638e-89,6.66283178870638e-89,88.176341150886,"Down"
"MSTRG.13423",3841.96988509093,-3.1046089886307,0.152969763787319,-20.2955728750891,1.40705239514546e-91,3.08063013608717e-88,3.08063013608717e-88,87.5113604404363,"Down"
"MSTRG.40824",3113.72721642182,-3.8286108181682,0.189158899804642,-20.2401833702896,4.33553265377022e-91,9.01769114320937e-88,9.01769114320937e-88,87.0449046434026,"Down"
"MSTRG.21494",1631.30920284277,-4.26344390959126,0.213223042239675,-19.9952306505359,6.05980741370231e-89,1.20039013620287e-85,1.20039013620287e-85,84.9206775818995,"Down"
"MSTRG.10926",7947.65422133744,-3.18524257464937,0.162288345899064,-19.6270567489206,9.08259546984081e-86,1.71739494977231e-82,1.71739494977231e-82,81.765129818536,"Down"
"MSTRG.33986",11355.7791422883,-2.88348435354944,0.147152467728826,-19.5952157517546,1.6986406613559e-85,3.07225012485844e-82,3.07225012485844e-82,81.5125434294531,"Down"
"MSTRG.33648",7308.40539111197,-2.45658939970757,0.125619296549368,-19.5558283415648,3.67980273099221e-85,6.37817140860604e-82,6.37817140860604e-82,81.1953038135955,"Down"
"MSTRG.36259",9275.33072970885,-3.67034661024747,0.187773811443169,-19.5466374253064,4.40623487578611e-85,7.33179858391306e-82,7.33179858391306e-82,81.1347894743013,"Down"
"MSTRG.12175",1145.09952398379,6.16399709193327,0.317608135689241,19.4075541502008,6.66238458300816e-84,1.06595590872522e-80,1.06595590872522e-80,79.9722607587179,"Up"
"MSTRG.39948",408.186317192391,-6.06572467495335,0.316259338080837,-19.1795907490419,5.48100606517786e-82,8.444606344642e-79,8.444606344642e-79,78.0734205907744,"Down"
"MSTRG.3842",2771.72525595246,4.9453195641853,0.259569583570079,19.051999452972,6.32399599974453e-81,9.39542534262045e-78,9.39542534262045e-78,77.0270835540657,"Up"
"MSTRG.24173",11838.9089342882,-2.03079934322277,0.107089116447602,-18.9636389820849,3.40733108722819e-80,4.8876402033657e-77,4.8876402033657e-77,76.3109007715552,"Down"
"MSTRG.24764",756.45639033589,4.60508109191393,0.243293272062274,18.9281070244112,6.69243918506331e-80,9.27995925531495e-77,9.27995925531495e-77,76.0324539305948,"Up"
"MSTRG.23038",2085.4292491403,2.94280535481252,0.155839787241045,18.8835303673813,1.55814549411894e-79,2.090880464834e-76,2.090880464834e-76,75.6796707949905,"Up"
"MSTRG.6216",6200.33242931311,-1.50009601681235,0.0798855806688395,-18.7780573697136,1.14181769727003e-78,1.484327324648e-75,1.484327324648e-75,74.8284703176465,"Down"
"MSTRG.15441",551.155721407532,-3.16198064935795,0.171075761674085,-18.4829260347343,2.83387434140161e-76,3.57231329478684e-73,3.57231329478684e-73,72.4470504601333,"Down"
"MSTRG.11477",1745.188183757,4.20058186561784,0.228465660751705,18.3860535180515,1.69906757740233e-75,2.07880918095176e-72,2.07880918095176e-72,71.6821853738061,"Up"
"MSTRG.33180",945.638572907734,-2.96605739606679,0.161751860456363,-18.3370836520732,4.18662347547703e-75,4.97598142732483e-72,4.97598142732483e-72,71.303121249303,"Down"
"MSTRG.21604",724.160521664353,4.26788021561338,0.233786625915963,18.2554506652896,1.87259256125124e-74,2.16383272098584e-71,2.16383272098584e-71,70.6647763161906,"Up"
"MSTRG.8657",11935.3992661363,-2.62853438943693,0.144749978865515,-18.1591348754466,1.08724511873233e-73,1.22238674849044e-70,1.22238674849044e-70,69.9127913667925,"Down"
"MSTRG.22291",1085.35973795552,2.70962043051489,0.149265245767346,18.1530564371177,1.21450984706861e-73,1.32953671390018e-70,1.32953671390018e-70,69.876299665535,"Up"
"MSTRG.5523",1436865.56308641,2.85958101725311,0.157840102657806,18.1169485390707,2.34230744677784e-73,2.49840121739772e-70,2.49840121739772e-70,69.6023378171588,"Up"
"MSTRG.26215",1291.22750358694,4.59811539360684,0.255719319154976,17.9811029092417,2.73987885584931e-72,2.84940551311189e-69,2.84940551311189e-69,68.545245739748,"Up"
"MSTRG.21611",6335.63121166667,4.26509153670119,0.237562618226238,17.953546599825,4.50213261616553e-72,4.56790767560658e-69,4.56790767560658e-69,68.3402826824285,"Up"
"MSTRG.40132",1724.21801964544,-2.08432075903823,0.116293319383419,-17.9229621279124,7.80588382711325e-72,7.731356222002e-69,7.731356222002e-69,68.1117443161634,"Down"
"MSTRG.33832",319052.525259946,2.96202413099518,0.166261236561569,17.8154823833414,5.3593883468309e-71,5.18477199627485e-68,5.18477199627485e-68,67.2852703372377,"Up"
"MSTRG.10386",1038.48028678552,-4.42207041805859,0.249399329024207,-17.7308833803213,2.4219877214357e-70,2.28982425509099e-67,2.28982425509099e-67,66.6401978486527,"Down"
"MSTRG.7200",417.111291241505,2.67727765706524,0.151091543616063,17.7195731342082,2.96151025145454e-70,2.71601176314544e-67,2.71601176314544e-67,66.5660683534423,"Up"
"MSTRG.7693",2712.14389086776,-5.22832738137973,0.295072587236143,-17.7187838096108,3.00335443411357e-70,2.71601176314544e-67,2.71601176314544e-67,66.5660683534423,"Down"
"MSTRG.28263",1499.39629528845,5.3335786044215,0.30158393702972,17.6852210928459,5.45068438264242e-70,4.82431956667111e-67,4.82431956667111e-67,66.3165639319116,"Up"
"MSTRG.20798",2146.45617734118,-3.35310504116202,0.190618739610856,-17.5906369332172,2.90592977064528e-69,2.51841192768902e-66,2.51841192768902e-66,65.598873232413,"Down"
"MSTRG.16886",610.378017299562,2.61932308251979,0.149265177245007,17.548118930783,6.14828282452131e-69,5.21964116769923e-66,5.21964116769923e-66,65.282359352217,"Up"
"MSTRG.3590",416.105630108072,-3.0961475394251,0.177375863518011,-17.4552922704205,3.13767604488945e-68,2.61048371582712e-65,2.61048371582712e-65,64.5832790115697,"Down"
"MSTRG.38973",2915.88783128015,4.7332979405116,0.271980690472638,17.4030661231363,7.82026437338684e-68,6.37872897389253e-65,6.37872897389253e-65,64.1952658502157,"Up"
"MSTRG.2407",3522.35000538717,1.99000239266262,0.114920921289934,17.3162760124593,3.54574372743252e-67,2.83652679456664e-64,2.83652679456664e-64,63.5472131096218,"Up"
"MSTRG.41289",7730.50668494625,4.84653417365185,0.280810583047492,17.2590866093967,9.56113493068069e-67,7.50440852795068e-64,7.50440852795068e-64,63.1246835316912,"Up"
