"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_6_month","GO","GO:0005201",5,889,11,35149,4.16579013687062e-06,0.00869400401564898
"18_month_vs_6_month","GO","GO:0016705",10,889,93,35149,0.000123879151600061,0.129267894694664
"18_month_vs_6_month","GO","GO:0004497",10,889,108,35149,0.000423123161455747,0.294352679319381
"18_month_vs_6_month","GO","GO:0005506",13,889,177,35149,0.000606237862446426,0.316304604731423
"18_month_vs_6_month","GO","GO:0005184",3,889,9,35149,0.00120847210093587,0.437052233806342
"18_month_vs_6_month","GO","GO:0004185",5,889,33,35149,0.00134921360757152,0.437052233806342
"18_month_vs_6_month","GO","GO:0005581",2,889,3,35149,0.00188474849269625,0.437052233806342
"18_month_vs_6_month","GO","GO:0005879",2,889,3,35149,0.00188474849269625,0.437052233806342
"18_month_vs_6_month","GO","GO:0035082",2,889,3,35149,0.00188474849269625,0.437052233806342
"18_month_vs_6_month","GO","GO:0020037",10,889,141,35149,0.00321694858029742,0.613685990748581
"18_month_vs_6_month","GO","GO:0031012",5,889,40,35149,0.0032345691893792,0.613685990748581
"18_month_vs_6_month","GO","GO:0003993",6,889,66,35149,0.00645388949373475,1
"18_month_vs_6_month","GO","GO:0008233",4,889,37,35149,0.01384809529438,1
"18_month_vs_6_month","GO","GO:0016758",4,889,37,35149,0.01384809529438,1
"18_month_vs_6_month","GO","GO:0004222",6,889,78,35149,0.0141721970566286,1
"18_month_vs_6_month","GO","GO:0004932",2,889,8,35149,0.0161689727842178,1
"18_month_vs_6_month","GO","GO:0007010",2,889,8,35149,0.0161689727842178,1
"18_month_vs_6_month","GO","GO:0009101",4,889,39,35149,0.0165787357209265,1
"18_month_vs_6_month","GO","GO:0045735",2,889,9,35149,0.0204434015508698,1
"18_month_vs_6_month","GO","GO:0046907",2,889,9,35149,0.0204434015508698,1
"18_month_vs_6_month","GO","GO:0030414",3,889,25,35149,0.0245132808509336,1
"18_month_vs_6_month","GO","GO:0003941",1,889,1,35149,0.0252923269509802,1
"18_month_vs_6_month","GO","GO:0006508",14,889,314,35149,0.0300353850584101,1
"18_month_vs_6_month","GO","GO:0016567",4,889,54,35149,0.0475352677573952,1
"18_month_vs_6_month","GO","GO:0016702",2,889,14,35149,0.0475516158758404,1
"18_month_vs_6_month","GO","GO:0003911",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0004489",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0004862",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0006417",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0006469",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0008194",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0008375",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0010273",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0042601",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0043113",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0043236",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0044165",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0071585",1,889,2,35149,0.0499456534941851,1
"18_month_vs_6_month","GO","GO:0006099",2,889,15,35149,0.0539680313257983,1
"18_month_vs_6_month","GO","GO:0007154",3,889,35,35149,0.0580288338030976,1
"18_month_vs_6_month","GO","GO:0003994",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0005549",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0007224",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0007608",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0009007",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0009415",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0016879",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0019953",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0031418",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0045182",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0046870",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0061608",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0070573",1,889,3,35149,0.07397610599493,1
"18_month_vs_6_month","GO","GO:0004523",2,889,18,35149,0.0748526646009406,1
"18_month_vs_6_month","GO","GO:0043248",2,889,18,35149,0.0748526646009406,1
"18_month_vs_6_month","GO","GO:0009986",3,889,42,35149,0.0896250813933655,1
"18_month_vs_6_month","GO","GO:0000772",1,889,4,35149,0.0973994042869263,1
"18_month_vs_6_month","GO","GO:0004852",1,889,4,35149,0.0973994042869263,1
"18_month_vs_6_month","GO","GO:0006913",1,889,4,35149,0.0973994042869263,1
"18_month_vs_6_month","GO","GO:0017009",1,889,4,35149,0.0973994042869263,1
"18_month_vs_6_month","GO","GO:0019062",1,889,4,35149,0.0973994042869263,1
