direction,top_pfam_name,gene_count
Up,7tm_1,98
Up,Pkinase,73
Up,Ank_2,58
Up,zf-H2C2_2,50
Up,MFS_1,46
Up,PK_Tyr_Ser-Thr,37
Up,p450,29
Up,fn3,29
Up,Ras,28
Up,RVT_1,28
Up,C2,23
Up,ANF_receptor,21
Up,BTB,19
Up,LRR_8,19
Up,Ig_3,18
Up,Beta-prop_WDR5,18
Up,PDZ,18
Up,DEAD,16
Up,RabGAP-TBC,16
Up,RRM_1,16
Up,Neur_chan_LBD,16
Up,Ion_trans,15
Up,Y_phosphatase,15
Up,Lectin_C,14
Up,EF-hand_7,14
Up,adh_short,14
Up,7TM_GPCR_Srw,13
Up,Spectrin,13
Up,Mito_carr,13
Up,Ldl_recept_a,13
Up,Lig_chan,12
Up,COesterase,12
Up,SNF,12
Up,ABC_tran,12
Up,CUB,12
Up,AA_permease_2,11
Up,DnaJ,11
Up,Neur_chan_memb,11
Up,Cadherin,11
Up,Guanylate_cyc,11
Up,Adaptin_N,10
Up,Homeodomain,10
Up,Sugar_tr,9
Up,UQ_con,9
Up,Helicase_C,9
Up,Tetraspanin,9
Up,ABC_membrane,9
Up,zf-B_box,9
Up,UCH,9
Up,Laminin_G_2,9
Up,Thioredoxin,8
Up,ASC,8
Up,HSP70,8
Up,7tm_2,8
Up,BACK,8
Up,GTP_EFTU,8
Up,Fibrinogen_C,8
Up,Oxysterol_BP,8
Up,RhoGEF,8
Up,SNF2-rel_dom,8
Up,zf-C4,8
Up,I-set,8
Up,Lig_chan-Glu_bd,8
Up,Glyco_transf_92,7
Up,ubiquitin,7
Up,EMP70,7
Up,Cpn60_TCP1,7
Up,Glyco_hydro_38N,7
Up,C1_1,7
Up,tRNA-synt_1,7
Up,HMG_box,7
Up,AAA,7
Up,Sushi,7
Up,Aldedh,7
Up,Metallophos,7
Up,ThiF,7
Up,Glyco_hydro_20,7
Up,Beta-prop_THOC3,7
Up,DUF229,7
Up,LicD,7
Up,LRR_14,7
Up,ABC2_membrane_3,7
Up,PH,7
Up,Aminotran_3,6
Up,BIR,6
Up,SH3_1,6
Up,AMP-binding,6
Up,Kelch_KLHDC2_KLHL20_DRC7,6
Up,MIB_HERC2,6
Up,Usp,6
Up,Pyr_redox_2,6
Up,RhoGAP,6
Up,Sulfatase,6
Up,CH,6
Up,Beta-prop_WDR3_1st,6
Up,Hormone_recep,6
Up,Beta-lactamase,6
Up,Astacin,6
Up,PP2C,6
Up,Abhydrolase_3,6
Up,VWA,6
Up,FERM_M,6
Up,WD40_Prp19,6
Up,DHHC,6
Up,TUDOR,6
Up,RasGEF,6
Up,CIMR,6
Up,Arf,6
Up,SAM_1,6
Up,WD40_RLD,6
Up,Fasciclin,5
Up,Cation_ATPase,5
