"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_plot","minus_log10_padj","significance"
"MSTRG.4485",383.755606889243,-12.6582700393283,1.04980529775263,-12.0577311492203,1.76580517783396e-33,3.1033143097843e-29,3.1033143097843e-29,28.5081742359878,"Down"
"MSTRG.5396",10180.2584057351,-1.39684578228112,0.125891338595776,-11.0956464349486,1.31704372559029e-28,1.35345822544476e-24,1.35345822544476e-24,23.8685551442073,"Down"
"MSTRG.33180",945.638572907734,-1.79922582136006,0.162360971329305,-11.0816399201678,1.54025232631911e-28,1.35345822544476e-24,1.35345822544476e-24,23.8685551442073,"Down"
"MSTRG.312",80847.4669886105,-1.44096584747865,0.138206987567779,-10.4261432279029,1.88380098653881e-25,1.32427441751705e-21,1.32427441751705e-21,20.878022010618,"Down"
"MSTRG.14242",9161.38710928814,-1.00204286866773,0.0963479605584457,-10.4002499156158,2.47283778997419e-25,1.44862959133005e-21,1.44862959133005e-21,20.8390426476593,"Down"
"MSTRG.15182",754.033710135825,-1.3191453052728,0.134498739607301,-9.80786369540962,1.0415007465254e-22,4.57596371745264e-19,4.57596371745264e-19,18.3395174276968,"Down"
"MSTRG.21494",1631.30920284277,-2.07056734905783,0.214053471627529,-9.67313135972303,3.92190597594418e-22,1.53167859053847e-18,1.53167859053847e-18,17.8148323580716,"Down"
"MSTRG.17390",1162.53854975157,-1.73486615074635,0.18082735832687,-9.5940468676777,8.46962700381057e-22,2.97698919556938e-18,2.97698919556938e-18,17.5262227415418,"Down"
"MSTRG.30025",303.661103559262,1.98662730902789,0.207507866689423,9.57374455591737,1.03102267236507e-21,3.2944923555418e-18,3.2944923555418e-18,17.4822114958414,"Up"
"MSTRG.28462",997.656215676996,-1.32939032116931,0.146139928674706,-9.0966947447224,9.31226312516102e-20,2.59230804167902e-16,2.59230804167902e-16,15.5863133929046,"Down"
"MSTRG.31440",3393.52033544773,-1.35125509535694,0.148595275586885,-9.09352662808484,9.58775627808109e-20,2.59230804167902e-16,2.59230804167902e-16,15.5863133929046,"Down"
"MSTRG.23795",3570.91835235108,-1.195763084556,0.132337477037285,-9.03571015048977,1.6294097288462e-19,4.09086589708678e-16,4.09086589708678e-16,15.388184756901,"Down"
"MSTRG.11047",2917.97374922697,-1.11906591842123,0.124431159093831,-8.99345410402683,2.3957997531037e-19,5.61399770145613e-16,5.61399770145613e-16,15.2507277695151,"Down"
"MSTRG.36102",4491.99840126684,-1.06539630247646,0.120323271857443,-8.85444923521303,8.40980291037645e-19,1.84747601560514e-15,1.84747601560514e-15,14.7334211910159,"Down"
"MSTRG.20665",5891.87360773189,-1.08756868793462,0.124729180382837,-8.71944066814594,2.79579444784323e-18,5.78055170866127e-15,5.78055170866127e-15,14.2380307095738,"Down"
"MSTRG.28614",2202.41018784674,-1.33876096904792,0.153932047331659,-8.69709064652045,3.40501433185538e-18,6.64904715279915e-15,6.64904715279915e-15,14.1772405871677,"Down"
"MSTRG.34790",272.558024507535,-2.00626028060152,0.232462173854667,-8.63048059533251,6.10947173343394e-18,1.13022011557089e-14,1.13022011557089e-14,13.9468369674295,"Down"
"MSTRG.41261",92.8131202805998,2.32781284985535,0.275519719948716,8.44880667811597,2.94295315568836e-17,4.7019027486041e-14,4.7019027486041e-14,13.3277263578103,"Up"
"MSTRG.28222",20788.2253814571,-1.01019045817318,0.11998268219354,-8.4194688742137,3.7819491954624e-17,5.77964053353513e-14,5.77964053353513e-14,13.2380991718142,"Down"
"MSTRG.16652",78.7320591072665,-2.36081806030931,0.28377534059935,-8.31932068277364,8.84688895850581e-17,1.2956637500105e-13,1.2956637500105e-13,12.8875076917234,"Down"
"MSTRG.22538",110.273038357907,-1.78389644181499,0.216475154427641,-8.24065212717643,1.71274539989294e-16,2.40805152243347e-13,2.40805152243347e-13,12.6183342251928,"Down"
"MSTRG.2930",491.993250666139,-1.73504594164873,0.216116243680756,-8.02829954888405,9.88329290448821e-16,1.33610716269175e-12,1.33610716269175e-12,11.8741587078041,"Down"
"MSTRG.7692",35806.4670644127,-1.57091618979796,0.196177808138908,-8.00761413689377,1.16955184204744e-15,1.52253991467131e-12,1.52253991467131e-12,11.8174313131488,"Down"
"MSTRG.1747",657.487320114534,-1.05586837327641,0.134032603648796,-7.87769799684776,3.33467513006681e-15,3.90701653822395e-12,3.90701653822395e-12,11.4081547504225,"Down"
"MSTRG.17504",5919.01497554786,-1.04074601744581,0.132476166727529,-7.85610003032751,3.96278637913035e-15,4.49316059484041e-12,4.49316059484041e-12,11.3474480585477,"Down"
"MSTRG.12053",75.1262792245816,3.24456860420897,0.416005262809465,7.79934509072549,6.22292769452044e-15,6.83530267295934e-12,6.83530267295934e-12,11.1652422497449,"Up"
"MSTRG.42229",140.219353387172,2.46893316401437,0.319431664357347,7.72914347418101,1.08272592041125e-14,1.1222376531449e-11,1.1222376531449e-11,10.9499151640065,"Up"
"MSTRG.34771",565.242460539567,-1.10668793201779,0.14362434967348,-7.70543389427886,1.30399465338895e-14,1.30954594491338e-11,1.30954594491338e-11,10.8828792599174,"Down"
"MSTRG.36367",469.967001253478,-1.51559660660575,0.196979613478657,-7.69418002117244,1.42404440642263e-14,1.39038157892636e-11,1.39038157892636e-11,10.8568659947962,"Down"
"MSTRG.39948",408.186317192391,-2.47836994081198,0.322712388982446,-7.6798103370825,1.59324296932744e-14,1.51353776024028e-11,1.51353776024028e-11,10.82000673965,"Down"
"MSTRG.18893",3544.89958298234,-1.15523071110607,0.150616660770577,-7.67000612811186,1.71988132620311e-14,1.59084496670298e-11,1.59084496670298e-11,10.7983721417777,"Down"
"MSTRG.8416",335.568863142824,1.43912946706446,0.188002544881607,7.65484035320231,1.93552540013304e-14,1.744404674084e-11,1.744404674084e-11,10.758352758317,"Up"
"MSTRG.19121",1094.33355889809,1.89289907605245,0.248899015360124,7.60508864735231,2.84708672480165e-14,2.44078661683056e-11,2.44078661683056e-11,10.6124701866556,"Up"
"MSTRG.213",450.300768940113,-1.75485473143033,0.231274265217526,-7.5877648115314,3.25470973395523e-14,2.72380458187601e-11,2.72380458187601e-11,10.5648240539022,"Down"
"MSTRG.34929",406.195883935694,-1.24688838194532,0.167521776064066,-7.44314208720227,9.8318237976734e-14,7.85406306055505e-11,7.85406306055505e-11,10.1049056160856,"Down"
"MSTRG.14241",3152.47922390602,-1.28561834690528,0.172858651471289,-7.43739660099576,1.02688902709861e-13,8.02091609188647e-11,8.02091609188647e-11,10.0957760268617,"Down"
"MSTRG.14008",2925.39719096665,-2.06527489073688,0.278643465084853,-7.41189063991849,1.24511416423028e-13,9.51402559968044e-11,9.51402559968044e-11,10.0216356843451,"Down"
"MSTRG.30310",138.039296503602,-1.78126035662033,0.240838206059423,-7.39608713154438,1.40255993672081e-13,1.0489059407617e-10,1.0489059407617e-10,9.97926345483759,"Down"
"MSTRG.31502",87.3179752990138,-24.3031214146487,3.29668470206354,-7.3719884098823,1.68101635099449e-13,1.2309592441897e-10,1.2309592441897e-10,9.90975632587984,"Down"
"MSTRG.29970",200.451817363834,-1.22869194143463,0.166839403712674,-7.3645188971704,1.77786869128466e-13,1.24980613259929e-10,1.24980613259929e-10,9.90315734864965,"Down"
"MSTRG.19860",534.638309954494,25.4782521357826,3.47240533045918,7.33734967870627,2.17864871251165e-13,1.50151614894259e-10,1.50151614894259e-10,9.82346999256328,"Up"
"MSTRG.9206",5473.74654956968,-2.17483214431062,0.296542891181364,-7.33395474646703,2.23458578357422e-13,1.51045107128558e-10,1.51045107128558e-10,9.82089333845746,"Down"
"MSTRG.19122",5892.45984294965,-1.02313420058228,0.139797636979921,-7.31868022010435,2.5042154551539e-13,1.63001238950379e-10,1.63001238950379e-10,9.78780909456986,"Down"
"MSTRG.40247",27.3847753035743,-22.6934876583408,3.09987987881813,-7.32076356035866,2.46563936776454e-13,1.63001238950379e-10,1.63001238950379e-10,9.78780909456986,"Down"
"MSTRG.308",474.531655097993,-2.54351597830059,0.348423588100127,-7.30006826509593,2.87621760831215e-13,1.80528879847436e-10,1.80528879847436e-10,9.74345331256662,"Down"
"MSTRG.26073",24070.3185839571,-1.06553154110173,0.148823711353158,-7.1596893493217,8.08600865818783e-13,4.81720539536685e-10,4.81720539536685e-10,9.31720483590007,"Down"
"MSTRG.4250",317.024217625714,-1.65221000008906,0.231715778477033,-7.13033014388715,1.00128469098315e-12,5.86569260056111e-10,5.86569260056111e-10,9.23168070054029,"Down"
"MSTRG.212",769.180416924479,-1.38691711636917,0.195075354824289,-7.1096480517409,1.16339242145737e-12,6.70361970849264e-10,6.70361970849264e-10,9.17369063089146,"Down"
"MSTRG.37892",511.384536580187,-1.12686978887865,0.158620061862062,-7.10420722101713,1.21015168420257e-12,6.86058412065101e-10,6.86058412065101e-10,9.16363890622097,"Down"
"MSTRG.10496",1090.58891935801,-1.03913688073822,0.146431559238738,-7.0963997524881,1.28048750720561e-12,7.14410403028093e-10,7.14410403028093e-10,9.14605223000865,"Down"
"MSTRG.14240",1910.00949323193,-1.31210396965271,0.18503693112704,-7.09103832224637,1.33109475076701e-12,7.31041396792339e-10,7.31041396792339e-10,9.13605802948613,"Down"
"MSTRG.8248",479.581240266782,1.61999060208002,0.229924307423341,7.04575614572697,1.84457048380834e-12,9.82345574778472e-10,9.82345574778472e-10,9.00773570689931,"Up"
"MSTRG.21208",140.623512653945,-1.90373271071467,0.273414123013358,-6.96281775693666,3.3353317776582e-12,1.72402318607218e-09,1.72402318607218e-09,8.76345689772506,"Down"
"MSTRG.22669",1214.37283801813,-1.32590934821697,0.190921164316513,-6.94480024236,3.78996215404408e-12,1.93062869206515e-09,1.93062869206515e-09,8.71430124382447,"Down"
"MSTRG.35984",1100.7193065023,-1.09868611793705,0.158917523374464,-6.91356179361145,4.72633654692165e-12,2.33980286320773e-09,2.33980286320773e-09,8.63082073191792,"Down"
"MSTRG.9237",236.614418921845,1.15446881838148,0.167846340591812,6.87812921217656,6.06436542763838e-12,2.91995041665837e-09,2.91995041665837e-09,8.53462452319353,"Up"
"MSTRG.23571",9891.66940600429,-1.00038404190564,0.145403031892984,-6.88007690680013,5.98202567086558e-12,2.91995041665837e-09,2.91995041665837e-09,8.53462452319353,"Down"
"MSTRG.215",756.384172071946,-1.04651994611587,0.152594855852699,-6.85816006226374,6.97530811267292e-12,3.3131770925992e-09,3.3131770925992e-09,8.47975535002715,"Down"
"MSTRG.17505",784.577533035562,-1.42720710827558,0.208368619474586,-6.84943400726258,7.41427417414219e-12,3.47472430595898e-09,3.47472430595898e-09,8.45907964780783,"Down"
"MSTRG.12131",695.922254918044,-1.24706225821395,0.182810844587939,-6.82159891020069,9.00327465342345e-12,4.16389606306817e-09,4.16389606306817e-09,8.38050011965125,"Down"
"MSTRG.31060",367.549473220439,-1.63449426631909,0.240414580024497,-6.79864867660082,1.05604993749084e-11,4.82066224063187e-09,4.82066224063187e-09,8.31689329626403,"Down"
"MSTRG.41007",196.343743197531,-1.72543620502452,0.254843477704485,-6.77057235510387,1.28273912446837e-11,5.78038429306908e-09,5.78038429306908e-09,8.23804328773667,"Down"
"MSTRG.26509",92.0068178814821,-2.44757373572503,0.361970651692103,-6.76180161094101,1.3628624255887e-11,6.0637027084832e-09,6.0637027084832e-09,8.21726209946543,"Down"
"MSTRG.39336",256.780436427297,-1.32285819611425,0.195797086811199,-6.75627108481877,1.41588397334291e-11,6.22086322237874e-09,6.22086322237874e-09,8.20614934735034,"Down"
"MSTRG.19723",268.968668345428,-24.8155807295557,3.67835665392637,-6.74637700046485,1.51582450988481e-11,6.57774267875817e-09,6.57774267875817e-09,8.18192312011777,"Down"
"MSTRG.8161",712.039435211008,-1.12498199519388,0.166801626694185,-6.74443059992708,1.53628298586019e-11,6.58522081341461e-09,6.58522081341461e-09,8.1814296578412,"Down"
"MSTRG.14013",222525.442015298,-1.2407603819084,0.18473665754007,-6.71637344980803,1.86302959647063e-11,7.88959364895739e-09,7.88959364895739e-09,8.10294536441544,"Down"
"MSTRG.24455",23362.6823319098,-1.19318078596587,0.177755677504707,-6.71247637608803,1.91348791165921e-11,7.91261018904819e-09,7.91261018904819e-09,8.10168022905517,"Down"
"MSTRG.34227",478.356281877082,-1.04340076578261,0.155421508339903,-6.71336147054189,1.90191178465123e-11,7.91261018904819e-09,7.91261018904819e-09,8.10168022905517,"Down"
"MSTRG.38462",5375.13113472845,-1.25505212866114,0.1870394950345,-6.71009151532218,1.94502391167316e-11,7.94949365946509e-09,7.94949365946509e-09,8.09966053271502,"Down"
"MSTRG.12293",336.987565149177,-1.32866583317984,0.198534962511885,-6.69235189797012,2.19611970983142e-11,8.67319232369265e-09,8.67319232369265e-09,8.06182102324044,"Down"
"MSTRG.781",139.051739609916,24.420883164465,3.67853323170429,6.63875561976387,3.16342367910094e-11,1.22188108677713e-08,1.22188108677713e-08,7.91297105748904,"Up"
"MSTRG.16649",117.369384513181,-2.36075095772552,0.356486825924658,-6.62226704059032,3.5373127049942e-11,1.35144569856349e-08,1.35144569856349e-08,7.86920139967892,"Down"
"MSTRG.30026",215.193070722413,1.80518055579073,0.273169892635677,6.60827054685077,3.88835612982029e-11,1.46958956566724e-08,1.46958956566724e-08,7.83280394025507,"Up"
"MSTRG.19346",2634.28403306184,-1.3290206145453,0.202412806701427,-6.56589193244922,5.17223182092065e-11,1.93402953482489e-08,1.93402953482489e-08,7.71353689803299,"Down"
"MSTRG.34455",484.148166170717,1.29600642175055,0.197828237678467,6.55117002991738,5.70880131684902e-11,2.1121963945887e-08,2.1121963945887e-08,7.67526570303183,"Up"
"MSTRG.21188",657.041959067609,-2.31325336251324,0.35324022816537,-6.54866908711848,5.80521038442123e-11,2.12549312293773e-08,2.12549312293773e-08,7.67254029586036,"Down"
