Run	LibraryLayout	spots	bases	avgLength	size_MB	Platform	Model	Sample	BioSample	SampleName
SRR13618150	PAIRED	57392782	17217834600	300	5107	ILLUMINA	Illumina NovaSeq 6000	SRS8180063	SAMN17763686	L.stag CNS_18month_1
SRR13618142	PAIRED	55646093	16693827900	300	4933	ILLUMINA	Illumina NovaSeq 6000	SRS8180071	SAMN17763700	L.stag CNS_18month_2
SRR13618151	PAIRED	62921127	18876338100	300	5583	ILLUMINA	Illumina NovaSeq 6000	SRS8180062	SAMN17763687	L.stag CNS_18month_3
SRR13618143	PAIRED	60283142	18084942600	300	5380	ILLUMINA	Illumina NovaSeq 6000	SRS8180070	SAMN17763701	L.stag CNS_18month_4
SRR13618140	PAIRED	55601129	16680338700	300	5004	ILLUMINA	Illumina NovaSeq 6000	SRS8180073	SAMN17763674	L.stag CNS_3month_1
SRR13618141	PAIRED	58504523	17551356900	300	5230	ILLUMINA	Illumina NovaSeq 6000	SRS8180072	SAMN17763675	L.stag CNS_3month_2
SRR13618144	PAIRED	63004469	18901340700	300	5655	ILLUMINA	Illumina NovaSeq 6000	SRS8180068	SAMN17763680	L.stag CNS_3month_3
SRR13618145	PAIRED	59185591	17755677300	300	5328	ILLUMINA	Illumina NovaSeq 6000	SRS8180066	SAMN17763681	L.stag CNS_3month_4
SRR13618146	PAIRED	60418665	18125599500	300	5394	ILLUMINA	Illumina NovaSeq 6000	SRS8180067	SAMN17763682	L.stag CNS_6month_1
SRR13618148	PAIRED	65298134	19589440200	300	5810	ILLUMINA	Illumina NovaSeq 6000	SRS8180069	SAMN17763684	L.stag CNS_6month_2
SRR13618147	PAIRED	69121300	20736390000	300	6218	ILLUMINA	Illumina NovaSeq 6000	SRS8180065	SAMN17763683	L.stag CNS_6month_3
SRR13618149	PAIRED	60492950	18147885000	300	5446	ILLUMINA	Illumina NovaSeq 6000	SRS8180064	SAMN17763685	L.stag CNS_6month_4
