Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13618150,2022-03-01 00:00:23,2021-02-03 11:41:28,57392782,17217834600,57392782,300,5107,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618150/SRR13618150.lite.1,SRX10011380,L.stag CNS_18month_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180063,SAMN17763686,simple,6523,Lymnaea stagnalis,L.stag CNS_18month_1,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,CB1605342CEB1B21B76B4C64117E09C1,4DC75857B9626F632931D6B76BB4C3FB
SRR13618142,2022-03-01 00:00:23,2021-02-03 10:44:30,55646093,16693827900,55646093,300,4933,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618142/SRR13618142.lite.1,SRX10011388,L.stag CNS_18month_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180071,SAMN17763700,simple,6523,Lymnaea stagnalis,L.stag CNS_18month_2,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,4A16646B7192F114DF0AA32F88D9E7B6,9367CA2C4B8E4B64A34BE1EDE378F09B
SRR13618151,2022-03-01 00:00:23,2021-02-03 10:47:04,62921127,18876338100,62921127,300,5583,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618151/SRR13618151.lite.1,SRX10011379,L.stag CNS_18month_3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180062,SAMN17763687,simple,6523,Lymnaea stagnalis,L.stag CNS_18month_3,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,20D711468F469584AF73EDF60103C7C8,A0F4C5CF2D6EEBB7906839B69B5E2B0C
SRR13618143,2022-03-01 00:00:23,2021-02-03 10:52:07,60283142,18084942600,60283142,300,5380,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618143/SRR13618143.lite.1,SRX10011387,L.stag CNS_18month_4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180070,SAMN17763701,simple,6523,Lymnaea stagnalis,L.stag CNS_18month_4,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,8741FDAD31105261B1ED3C6506D11562,195A9D652B341E93348DD8A73F0D4A25
SRR13618140,2022-03-01 00:00:23,2021-02-03 10:41:40,55601129,16680338700,55601129,300,5004,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618140/SRR13618140.lite.1,SRX10011390,L.stag CNS_3month_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180073,SAMN17763674,simple,6523,Lymnaea stagnalis,L.stag CNS_3month_1,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,4839F38DFA6F32997A85BF1A94356A1F,D4273DFB6BFDE77F02E16708846F3AC4
SRR13618141,2022-03-01 00:00:23,2021-02-03 11:07:59,58504523,17551356900,58504523,300,5230,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618141/SRR13618141.lite.1,SRX10011389,L.stag CNS_3month_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180072,SAMN17763675,simple,6523,Lymnaea stagnalis,L.stag CNS_3month_2,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,27C801BABF2C54C6A26590C18EB8E50C,80733EC900142478DC8D76FF6F520CB1
SRR13618144,2022-03-01 00:00:23,2021-02-03 10:46:53,63004469,18901340700,63004469,300,5655,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618144/SRR13618144.lite.1,SRX10011386,L.stag CNS_3month_3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180068,SAMN17763680,simple,6523,Lymnaea stagnalis,L.stag CNS_3month_3,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,D74E8D08B76F9343995C30F55805B36E,D4F741D3B061FC9335189F44D697957B
SRR13618145,2022-03-01 00:00:23,2021-02-03 10:49:23,59185591,17755677300,59185591,300,5328,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618145/SRR13618145.lite.1,SRX10011385,L.stag CNS_3month_4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180066,SAMN17763681,simple,6523,Lymnaea stagnalis,L.stag CNS_3month_4,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,BB872BA5892EB7534FDC343FBC77D3A5,E3BF965E166333254B5127E9DD15D14B
SRR13618146,2022-03-01 00:00:23,2021-02-03 10:47:54,60418665,18125599500,60418665,300,5394,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618146/SRR13618146.lite.1,SRX10011384,L.stag CNS_6month_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180067,SAMN17763682,simple,6523,Lymnaea stagnalis,L.stag CNS_6month_1,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,12E65A6C48C37B60842A30A8A09684DB,93C8DDF023378609B01C959CF5641426
SRR13618148,2022-03-01 00:00:23,2021-02-03 10:43:24,65298134,19589440200,65298134,300,5810,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13618/SRR13618148/SRR13618148.lite.1,SRX10011382,L.stag CNS_6month_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304491,PRJNA698985,,698985,SRS8180069,SAMN17763684,simple,6523,Lymnaea stagnalis,L.stag CNS_6month_2,,,,,hermaphrodite,,no,,,,,SAINT LOUIS UNIVERSITY,SRA1191031,,public,1EF5D4C933B22FE2F7479DD2B8A12ADB,14A51051C8B8A766DC2E0DC709410E98
