gene_id	term
MSTRG.100	K20096
MSTRG.10002	K01202
MSTRG.10007	K20803
MSTRG.1001	K21248
MSTRG.10011	K13122
MSTRG.10031	K22415
MSTRG.10032	K03141
MSTRG.10033	K25393
MSTRG.10035	K24098
MSTRG.10047	K28889
MSTRG.10056	K19363
MSTRG.10057	K19363
MSTRG.10060	K09669
MSTRG.10062	K01897
MSTRG.10068	K00281
MSTRG.10070	K09534
MSTRG.10072	K03068
MSTRG.10073	K11135
MSTRG.10075	K15030
MSTRG.10076	K23296
MSTRG.10077	K11805
MSTRG.10079	K15047
MSTRG.10080	K01512
MSTRG.10081	K18025
MSTRG.10082	K25440
MSTRG.10085	K14636
MSTRG.101	K09368
MSTRG.10102	K11673
MSTRG.10110	K16944
MSTRG.10112	K11506
MSTRG.10115	K11418
MSTRG.10126	K09239
MSTRG.1013	K24420
MSTRG.10136	K03019
MSTRG.10137	K24554
MSTRG.10143	K14709
MSTRG.10148	K07304
MSTRG.10151	K03347
MSTRG.10155	K10980
MSTRG.10164	K00463
MSTRG.10165	K00463
MSTRG.10172	K13150
MSTRG.10183	K28271
MSTRG.10184	K12819
MSTRG.10186	K13116
MSTRG.10189	K05955
MSTRG.10193	K28439
MSTRG.10202	K05208
MSTRG.10210	K09228
MSTRG.10211	K09228
MSTRG.10213	K18575
MSTRG.1022	K28116
MSTRG.10225	K17868
MSTRG.10226	K23387
MSTRG.1023	K16802
MSTRG.10230	K14387
MSTRG.10254	K03691
MSTRG.10261	K20294
MSTRG.10264	K12585
MSTRG.10268	K17711
MSTRG.1027	K06689
MSTRG.10272	K01847
MSTRG.10275	K07038
MSTRG.10276	K13617
MSTRG.10276	K28812
MSTRG.1028	K26674
MSTRG.10290	K19369
MSTRG.10291	K01074
MSTRG.10296	K00432
MSTRG.10298	K24576
MSTRG.10299	K01641
MSTRG.103	K14611
MSTRG.10303	K10898
MSTRG.10330	K14798
MSTRG.10338	K04552
MSTRG.1034	K25552
MSTRG.10341	K14822
MSTRG.10347	K19306
MSTRG.10354	K22524
MSTRG.10359	K27588
MSTRG.1037	K09519
MSTRG.10372	K20102
MSTRG.10376	K12667
MSTRG.10384	K01613
MSTRG.1040	K23790
MSTRG.10417	K01942
MSTRG.1042	K02137
MSTRG.1042	K02113
MSTRG.10424	K28237
MSTRG.10425	K14050
MSTRG.10426	K14050
MSTRG.10429	K17261
MSTRG.10430	K17261
MSTRG.10433	K26220
MSTRG.10436	K00591
MSTRG.10437	K22384
MSTRG.10439	K24828
MSTRG.10441	K23740
MSTRG.10443	K19385
MSTRG.10448	K15133
MSTRG.10449	K15133
MSTRG.1045	K17598
MSTRG.10451	K26229
MSTRG.10460	K09228
MSTRG.10461	K09228
MSTRG.10465	K01173
MSTRG.10466	K03124
MSTRG.10467	K03124
MSTRG.10468	K01173
MSTRG.10469	K01173
MSTRG.10470	K01158
MSTRG.10478	K01934
MSTRG.10479	K17405
MSTRG.10480	K03341
MSTRG.10485	K13273
MSTRG.10488	K19367
MSTRG.10489	K17578
MSTRG.1049	K08735
MSTRG.10493	K24983
MSTRG.10496	K27391
MSTRG.105	K20184
MSTRG.10521	K19362
MSTRG.10522	K18587
MSTRG.10522	K23345
MSTRG.10523	K04699
MSTRG.10524	K13123
MSTRG.10525	K13123
MSTRG.10530	K13169
MSTRG.10539	K08331
MSTRG.1054	K09228
MSTRG.10540	K18619
MSTRG.10541	K07511
MSTRG.10541	K01692
MSTRG.10544	K07207
MSTRG.10545	K13247
MSTRG.10547	K13170
MSTRG.10553	K11861
MSTRG.10555	K07074
MSTRG.10556	K14313
MSTRG.10568	K10419
MSTRG.1057	K09228
MSTRG.10574	K23223
MSTRG.10579	K14589
MSTRG.10587	K24739
MSTRG.10589	K18441
MSTRG.10592	K17577
MSTRG.10594	K13126
MSTRG.10596	K09228
MSTRG.10597	K13126
MSTRG.1060	K09228
MSTRG.1060	K22046
MSTRG.1060	K12740
MSTRG.10602	K04794
MSTRG.10604	K00927
MSTRG.1061	K09228
MSTRG.10622	K13212
MSTRG.10623	K05941
MSTRG.10623	K25587
MSTRG.10625	K01517
MSTRG.10629	K01992
MSTRG.10634	K07090
MSTRG.10636	K11847
MSTRG.10639	K18757
MSTRG.10640	K18757
MSTRG.10643	K01835
MSTRG.10644	K01374
MSTRG.10645	K15101
MSTRG.10647	K02541
MSTRG.1065	K05642
MSTRG.10651	K02885
MSTRG.10655	K11593
MSTRG.10682	K09397
MSTRG.10689	K14402
MSTRG.10705	K03131
MSTRG.10708	K02209
MSTRG.10710	K07943
MSTRG.10713	K26109
MSTRG.10719	K24982
MSTRG.10720	K01809
MSTRG.10721	K01809
MSTRG.10724	K01137
MSTRG.10725	K11323
MSTRG.10731	K04097
MSTRG.10734	K15026
MSTRG.10747	K14299
MSTRG.10758	K23625
MSTRG.10764	K14292
MSTRG.10769	K17254
MSTRG.10776	K24014
MSTRG.10781	K25633
MSTRG.10786	K19753
MSTRG.10787	K19753
MSTRG.10788	K24067
MSTRG.10790	K19572
MSTRG.10796	K02605
MSTRG.10797	K02605
MSTRG.10797	K25866
MSTRG.10799	K02872
MSTRG.10800	K22068
MSTRG.10800	K04488
MSTRG.10802	K04556
MSTRG.10804	K14546
MSTRG.10805	K08798
MSTRG.10808	K10880
MSTRG.10810	K19984
MSTRG.10816	K28196
MSTRG.10819	K03872
MSTRG.10822	K18426
MSTRG.10835	K10646
MSTRG.10836	K17257
MSTRG.10837	K25470
MSTRG.10840	K03038
MSTRG.10846	K15426
MSTRG.10847	K25473
MSTRG.10853	K01511
MSTRG.10856	K10601
MSTRG.1086	K09250
MSTRG.1087	K16467
MSTRG.10884	K01206
MSTRG.10886	K01206
MSTRG.10890	K00801
MSTRG.10892	K11166
MSTRG.10895	K08515
MSTRG.10897	K05613
MSTRG.10898	K00264
MSTRG.10898	K00266
MSTRG.10901	K22855
MSTRG.10906	K23739
MSTRG.10910	K16546
MSTRG.10912	K27277
MSTRG.10913	K11390
MSTRG.10913	K01644
MSTRG.10914	K18469
MSTRG.10916	K15275
MSTRG.10918	K09275
MSTRG.10928	K00718
MSTRG.10937	K01135
MSTRG.10945	K12795
MSTRG.1095	K19612
MSTRG.10966	K27397
MSTRG.10967	K27397
MSTRG.10968	K14407
MSTRG.10970	K24997
MSTRG.10971	K27258
MSTRG.10979	K08852
MSTRG.10980	K08852
MSTRG.10981	K22503
MSTRG.10984	K02604
MSTRG.10985	K02604
