gene_id	term
MSTRG.100	GO:0003676
MSTRG.100	GO:0003677
MSTRG.100	GO:0005524
MSTRG.100	GO:0016787
MSTRG.100	GO:0051607
MSTRG.10000	GO:0003993
MSTRG.10000	GO:0005515
MSTRG.10000	GO:0046872
MSTRG.10003	GO:0005740
MSTRG.10003	GO:0016020
MSTRG.10003	GO:0043065
MSTRG.10009	GO:0004843
MSTRG.10009	GO:0051260
MSTRG.10010	GO:0016010
MSTRG.10011	GO:0003700
MSTRG.10011	GO:0005576
MSTRG.10011	GO:0005815
MSTRG.10011	GO:0006260
MSTRG.10011	GO:0006355
MSTRG.10011	GO:0006357
MSTRG.10011	GO:0008294
MSTRG.10011	GO:0030674
MSTRG.10011	GO:0043565
MSTRG.10011	GO:0051015
MSTRG.10011	GO:0006606
MSTRG.10013	GO:0005815
MSTRG.10013	GO:0006260
MSTRG.10013	GO:0006355
MSTRG.10013	GO:0006606
MSTRG.10013	GO:0043565
MSTRG.10013	GO:0050135
MSTRG.10013	GO:0003700
MSTRG.10013	GO:0016020
MSTRG.10016	GO:0005515
MSTRG.10016	GO:0006355
MSTRG.10016	GO:0019058
MSTRG.10016	GO:0042742
MSTRG.10018	GO:0005515
MSTRG.10018	GO:0006355
MSTRG.10018	GO:0019058
MSTRG.10019	GO:0005515
MSTRG.10023	GO:0003676
MSTRG.10023	GO:0008270
MSTRG.10027	GO:0003824
MSTRG.10027	GO:0006281
MSTRG.1003	GO:0022857
MSTRG.1003	GO:0055085
MSTRG.10031	GO:0046872
MSTRG.10039	GO:0005085
MSTRG.10041	GO:0005515
MSTRG.10042	GO:0004672
MSTRG.10042	GO:0005524
MSTRG.10042	GO:0006468
MSTRG.10043	GO:0004672
MSTRG.10043	GO:0005524
MSTRG.10043	GO:0006468
MSTRG.10047	GO:0003676
MSTRG.10055	GO:0000976
MSTRG.10055	GO:0003700
MSTRG.10055	GO:0006355
MSTRG.10057	GO:0046872
MSTRG.10059	GO:0016020
MSTRG.10059	GO:0044650
MSTRG.10068	GO:0006520
MSTRG.10068	GO:0016829
MSTRG.10068	GO:0016830
MSTRG.10068	GO:0019752
MSTRG.10068	GO:0030170
MSTRG.10071	GO:0000166
MSTRG.10071	GO:0003677
MSTRG.10071	GO:0005524
MSTRG.10071	GO:0005525
MSTRG.10072	GO:0004519
MSTRG.10072	GO:0006401
MSTRG.10072	GO:0046872
MSTRG.10073	GO:0003676
MSTRG.10074	GO:0004564
