gene_id	pfam_domain_count	top_pfam_name	top_pfam_accession	top_pfam_ievalue	top_pfam_description	pfam_domains	pfam_accessions	pfam_descriptions	pfam_proteins
MSTRG.100	2	DEAD	PF00270.36	3.6e-32	DEAD/DEAH box helicase	DEAD;Helicase_C	PF00270.36;PF00271.38	DEAD/DEAH box helicase;Helicase conserved C-terminal domain	MSTRG.100.1.p1
MSTRG.10002	7	Glyco_hydro_59	PF02057.22	7.3e-122	Glycosyl hydrolase family 59	Glyco_hydro_59;Glyco_hydro_59_C;Glyco_hydro_59M	PF02057.22;PF21708.5;PF17387.9	Glycosyl hydrolase family 59;Galactocerebrosidase, C-terminal lectin domain;Glycosyl hydrolase family 59 central domain	MSTRG.10002.1.p1;MSTRG.10002.2.p2;MSTRG.10002.2.p1
MSTRG.10003	1	BNIP3	PF06553.18	2.4e-21	BNIP3	BNIP3	PF06553.18	BNIP3	MSTRG.10003.1.p1
MSTRG.10007	4	HECT_2	PF09814.15	7.5e-35	HECT-like Ubiquitin-conjugating enzyme (E2)-binding	HECT_2	PF09814.15	HECT-like Ubiquitin-conjugating enzyme (E2)-binding	MSTRG.10007.3.p1;MSTRG.10007.1.p1;MSTRG.10007.2.p1;MSTRG.10007.4.p1
MSTRG.10009	2	BTB_2	PF02214.29	8.7e-20	BTB/POZ domain	BTB_2;DUSP	PF02214.29;PF06337.18	BTB/POZ domain;DUSP domain	MSTRG.10009.1.p1
MSTRG.1001	1	SAP	PF02037.34	5.2e-11	SAP domain	SAP	PF02037.34	SAP domain	MSTRG.1001.2.p1
MSTRG.10011	6	FRG1	PF06229.19	5e-29	FRG1-like domain	FRG1;Fascin	PF06229.19;PF06268.20	FRG1-like domain;Fascin domain	MSTRG.10011.3.p1;MSTRG.10011.1.p1;MSTRG.10011.2.p1
MSTRG.10016	2	BTB	PF00651.38	6e-22	BTB/POZ domain	BTB;BACK	PF00651.38;PF07707.22	BTB/POZ domain;BTB And C-terminal Kelch	MSTRG.10016.1.p1
MSTRG.10018	3	BTB	PF00651.38	2.7e-22	BTB/POZ domain	BTB;BACK;BTB_KLHL33	PF00651.38;PF07707.22;PF21536.5	BTB/POZ domain;BTB And C-terminal Kelch;Kelch-like protein 33-like, BTB/POZ domain	MSTRG.10018.1.p1
MSTRG.10019	3	BACK	PF07707.22	1.7e-10	BTB And C-terminal Kelch	BACK;BTB;BTB_KLHL33	PF07707.22;PF00651.38;PF21536.5	BTB And C-terminal Kelch;BTB/POZ domain;Kelch-like protein 33-like, BTB/POZ domain	MSTRG.10019.1.p1
MSTRG.10023	1	S1	PF00575.30	8.7e-11	S1 RNA binding domain	S1	PF00575.30	S1 RNA binding domain	MSTRG.10023.1.p1
MSTRG.10024	1	DUF2045	PF09741.15	6.8e-22	Uncharacterized conserved protein (DUF2045)	DUF2045	PF09741.15	Uncharacterized conserved protein (DUF2045)	MSTRG.10024.1.p1
MSTRG.10027	2	DUF2045	PF09741.15	7.9e-42	Uncharacterized conserved protein (DUF2045)	DUF2045	PF09741.15	Uncharacterized conserved protein (DUF2045)	MSTRG.10027.2.p1;MSTRG.10027.1.p1
MSTRG.1003	3	MFS_1	PF07690.22	5.4e-32	Major Facilitator Superfamily	MFS_1;MFS_4	PF07690.22;PF06779.21	Major Facilitator Superfamily;Uncharacterised MFS-type transporter YbfB	MSTRG.1003.1.p1
MSTRG.10031	2	zf-CCCH_3	PF15663.12	6e-29	Zinc-finger containing family	zf-CCCH_3	PF15663.12	Zinc-finger containing family	MSTRG.10031.1.p1;MSTRG.10031.2.p1
